C {"C":1}
Initialization Complete
C {"A":913, "C":517}
Sending from C
C {"A":913, "C":518}
Sending from C
C {"A":913, "C":519}
Sending from C
C {"A":913, "C":520}
Sending from C
C {"A":922, "C":521}
Received on C
C {"A":922, "C":522}
Sending from C
C {"A":922, "C":523}
Sending from C
C {"A":922, "C":524}
Sending from C
C {"A":922, "C":525}
Sending from C
C {"A":931, "C":526}
Received on C
C {"A":931, "C":527}
Sending from C
C {"A":931, "C":528}
Sending from C
C {"A":931, "C":529}
Sending from C
C {"A":931, "C":530}
Sending from C
C {"A":931, "C":531}
Sending from C
C {"A":931, "C":532}
Sending from C
C {"A":931, "C":533}
Sending from C
C {"A":942, "C":534}
Received on C
C {"A":942, "C":535}
Sending from C
C {"A":942, "C":536}
Sending from C
C {"A":942, "C":537}
Sending from C
C {"A":953, "C":538}
Received on C
C {"A":953, "C":539}
Sending from C
C {"A":953, "C":540}
Sending from C
C {"A":959, "C":541}
Received on C
C {"A":959, "C":542}
Sending from C
C {"A":959, "C":543}
Sending from C
C {"A":959, "C":544}
Sending from C
C {"A":965, "C":545}
Received on C
C {"A":965, "C":546}
Sending from C
C {"A":965, "C":547}
Sending from C
C {"A":965, "C":548}
Sending from C
C {"A":965, "C":549}
Sending from C
C {"A":965, "C":550}
Sending from C
C {"A":965, "C":551}
Sending from C
C {"A":965, "C":552}
Sending from C
C {"A":979, "C":553}
Received on C
C {"A":979, "C":554}
Sending from C
C {"A":979, "C":555}
Sending from C
C {"A":979, "C":556}
Sending from C
C {"A":985, "C":557}
Received on C
C {"A":985, "C":558}
Sending from C
C {"A":985, "C":559}
Sending from C
C {"A":985, "C":560}
Sending from C
C {"A":985, "C":561}
Sending from C
C {"A":985, "C":562}
Sending from C
C {"A":998, "C":563}
Received on C
C {"A":998, "C":564}
Sending from C
C {"A":999, "C":565}
Received on C
C {"A":999, "C":566}
Sending from C
C {"A":999, "C":567}
Sending from C
C {"A":1008, "C":568}
Received on C
C {"A":1008, "C":569}
Sending from C
C {"A":1008, "C":570}
Sending from C
C {"A":1008, "C":571}
Sending from C
C {"A":1008, "C":572}
Sending from C
C {"A":1008, "C":573}
Sending from C
C {"A":1018, "C":574}
Received on C
C {"A":1018, "C":575}
Sending from C
C {"A":1018, "C":576}
Sending from C
C {"A":1018, "C":577}
Sending from C
C {"A":1025, "C":578}
Received on C
C {"A":1025, "C":579}
Sending from C
C {"A":1025, "C":580}
Sending from C
C {"A":1025, "C":581}
Sending from C
C {"A":1025, "C":582}
Sending from C
C {"A":1025, "C":583}
Sending from C
C {"A":1025, "C":584}
Sending from C
C {"A":1025, "C":585}
Sending from C
C {"A":1036, "C":586}
Received on C
C {"A":1036, "C":587}
Sending from C
C {"A":1036, "C":588}
Sending from C
C {"A":1036, "C":589}
Sending from C
C {"A":1036, "C":590}
Sending from C
C {"A":1036, "C":591}
Sending from C
C {"A":1048, "C":592}
Received on C
C {"A":1048, "C":593}
Sending from C
C {"A":1051, "C":594}
Received on C
C {"A":1051, "C":595}
Sending from C
C {"A":1051, "C":596}
Sending from C
C {"A":1051, "C":597}
Sending from C
C {"A":1051, "C":598}
Sending from C
C {"A":1051, "C":599}
Sending from C
C {"A":1060, "C":600}
Received on C
C {"A":1060, "C":601}
Sending from C
C {"A":1060, "C":602}
Sending from C
C {"A":1068, "C":603}
Received on C
C {"A":1068, "C":604}
Sending from C
C {"A":1068, "C":605}
Sending from C
C {"A":1068, "C":606}
Sending from C
C {"A":1068, "C":607}
Sending from C
C {"A":1068, "C":608}
Sending from C
